host_is_superhost,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,Number of amenities,guests_included,price_per_extra_person,minimum_nights,number_of_reviews,number_days_btw_first_last_review,review_scores_rating,cancellation_policy
0,1,Jamaica Plain,42.30992056,-71.11072692,Apartment,Private room,2,1,1,1,Real Bed,11,1,0,1,0,0,,flexible
0,1,Jamaica Plain,42.30757426,-71.13463037,House,Private room,2,,1,1,Real Bed,9,1,0,1,17,1172,94,moderate
1,1,Jamaica Plain,42.30997683,-71.10962021,Apartment,Private room,2,1,1,1,Futon,21,1,15,3,13,308,100,strict
0,1,Jamaica Plain,42.31169374,-71.1011646,Apartment,Private room,2,1,1,1,Real Bed,20,1,25,2,6,302,97,moderate
0,1,Jamaica Plain,42.29985744,-71.11235604,Townhouse,Private room,2,1,1,1,Real Bed,16,1,0,2,20,92,96,strict
0,1,Jamaica Plain,42.31842255,-71.10550531,Apartment,Entire home/apt,2,1,1,1,Real Bed,10,2,10,2,6,96,97,moderate
0,0,Jamaica Plain,42.30906285,-71.11141973,Apartment,Entire home/apt,2,1,0,1,Real Bed,17,1,0,1,13,38,100,strict
0,1,Jamaica Plain,42.30606394,-71.11516054,Condominium,Entire home/apt,4,1,2,2,Real Bed,15,1,0,2,4,76,90,strict
0,1,Jamaica Plain,42.31482748,-71.11295481,House,Private room,1,1,1,1,Futon,14,1,0,1,42,444,99,flexible
0,0,Jamaica Plain,42.31337133,-71.11089129,Apartment,Private room,2,1,1,1,Real Bed,15,1,15,2,8,115,100,moderate
0,1,Jamaica Plain,42.32357026,-71.10670813,Apartment,Private room,2,1,1,1,Real Bed,8,1,0,1,2,114,90,flexible
0,1,Jamaica Plain,42.29559334,-71.11530146,Condominium,Private room,2,1,1,1,Real Bed,11,1,0,2,12,321,100,flexible
0,0,Jamaica Plain,42.30443377,-71.10967689,Apartment,Private room,2,1,1,1,Real Bed,20,1,0,2,4,45,90,strict
0,1,Jamaica Plain,42.32309569,-71.10851427,Apartment,Entire home/apt,5,1,1,2,Real Bed,18,1,0,2,66,440,90,moderate
0,1,Jamaica Plain,42.30711034,-71.10582363,Apartment,Private room,2,1,1,1,Real Bed,7,1,0,2,24,958,91,moderate
0,1,Jamaica Plain,42.32004367,-71.10784416,Apartment,Private room,2,1,1,1,Real Bed,15,1,0,2,2,22,100,moderate
0,1,Jamaica Plain,42.30508831,-71.10735817,Apartment,Private room,2,1,1,1,Real Bed,14,2,30,2,20,667,81,flexible
0,1,Jamaica Plain,42.30794791,-71.10929999,Apartment,Private room,1,1,1,1,Real Bed,13,1,0,1,18,450,96,moderate
0,1,Jamaica Plain,42.30970116,-71.11833424,Apartment,Private room,2,1,1,1,Real Bed,21,1,15,1,57,358,92,strict
1,1,Jamaica Plain,42.32080939,-71.10730266,Apartment,Entire home/apt,2,1,1,1,Real Bed,15,1,25,2,48,212,95,moderate
0,1,Jamaica Plain,42.31579766,-71.116963,House,Private room,1,1,1,1,Real Bed,14,1,25,1,9,330,78,flexible
0,1,Jamaica Plain,42.32249609,-71.11475792,Apartment,Private room,2,1,1,2,Real Bed,16,1,0,1,2,2,100,flexible
0,1,Jamaica Plain,42.31805468,-71.11186936,Condominium,Private room,2,1.5,1,1,Real Bed,11,1,10,2,1,0,,moderate
1,1,Jamaica Plain,42.29956292,-71.11283945,House,Private room,2,1,1,1,Real Bed,18,1,0,2,5,90,96,moderate
0,1,Jamaica Plain,42.32508878,-71.1072298,House,Entire home/apt,2,1,0,1,Real Bed,20,1,0,2,139,601,93,moderate
0,0,Jamaica Plain,42.3232429,-71.11357115,Apartment,Private room,2,1,1,1,Real Bed,15,1,0,1,0,0,,flexible
0,1,Jamaica Plain,42.31838302,-71.1018781,House,Private room,2,1,1,1,Real Bed,14,1,10,2,21,160,91,strict
0,1,Jamaica Plain,42.30026388,-71.11180739,House,Private room,2,1,1,1,Real Bed,15,1,0,1,192,1027,95,moderate
1,1,Jamaica Plain,42.3186354,-71.10640628,Apartment,Entire home/apt,2,1,1,1,Real Bed,18,2,0,3,115,1812,97,strict
1,1,Jamaica Plain,42.31359024,-71.1091153,Apartment,Shared room,2,1,1,1,Real Bed,15,1,20,1,10,192,98,strict
0,0,Jamaica Plain,42.3192652,-71.11324624,House,Private room,2,1,1,1,Real Bed,10,1,0,1,0,0,,flexible
1,1,Jamaica Plain,42.30681153,-71.11052442,Apartment,Private room,2,1,1,1,Real Bed,21,1,0,2,91,1174,96,moderate
0,1,Jamaica Plain,42.32267198,-71.10078612,Condominium,Private room,2,2,1,1,Real Bed,15,1,0,1,10,23,74,flexible
0,0,Jamaica Plain,42.30977751,-71.11879574,Apartment,Private room,2,1,1,1,Real Bed,13,1,0,1,2,16,60,flexible
0,1,Jamaica Plain,42.3044244,-71.11429864,Apartment,Entire home/apt,4,1,1,1,Real Bed,14,0,0,3,14,888,86,moderate
0,1,Jamaica Plain,42.32551167,-71.11320967,Condominium,Entire home/apt,3,1,1,2,Real Bed,18,2,20,1,2,41,100,strict
