host_is_superhost,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,Number of amenities,guests_included,price_per_extra_person,minimum_nights,number_of_reviews,number_days_btw_first_last_review,review_scores_rating,cancellation_policy
0,1,Jamaica Plain,42.30637132,-71.11350717,House,Entire home/apt,3,1,2,1,Real Bed,15,2,50,2,9,64,98,moderate
0,0,Jamaica Plain,42.31922662,-71.1088689,Apartment,Entire home/apt,6,1,3,3,Real Bed,12,1,0,1,0,0,,flexible
0,1,Jamaica Plain,42.31179032,-71.12132703,Entire Floor,Entire home/apt,6,2,2,3,Real Bed,21,4,15,1,0,0,,moderate
0,0,Jamaica Plain,42.32133487,-71.1077732,Apartment,Entire home/apt,4,2,2,2,Real Bed,12,1,0,1,1,0,100,moderate
0,1,Jamaica Plain,42.31968702,-71.11296925,Apartment,Entire home/apt,6,1,3,5,Real Bed,23,4,50,1,9,153,97,strict
0,0,Jamaica Plain,42.31642341,-71.10502709,Condominium,Entire home/apt,6,1,2,3,Real Bed,22,2,25,3,0,0,,strict
0,1,Jamaica Plain,42.31277909,-71.10974082,Condominium,Entire home/apt,6,2,2,2,Real Bed,20,2,20,3,7,427,100,strict
0,0,Jamaica Plain,42.31102328,-71.11899339,Apartment,Entire home/apt,7,1,2,4,Real Bed,25,4,15,2,0,0,,flexible
0,0,Jamaica Plain,42.30354529,-71.10589216,Apartment,Entire home/apt,5,1,2,3,Real Bed,18,1,0,2,0,0,,moderate
1,1,Jamaica Plain,42.3177898,-71.10489693,House,Entire home/apt,5,1,2,4,Real Bed,21,3,25,1,25,140,96,strict
0,0,Jamaica Plain,42.31158243,-71.11170823,Apartment,Private room,2,2,1,1,Pull-out Sofa,11,1,0,1,0,0,,flexible
0,0,Jamaica Plain,42.30516878,-71.11290753,Apartment,Entire home/apt,4,1,2,2,Real Bed,12,4,15,1,22,375,94,flexible
1,1,Jamaica Plain,42.3069432,-71.11401575,Apartment,Entire home/apt,4,1,2,2,Real Bed,12,1,0,2,29,681,98,moderate
0,1,Jamaica Plain,42.31881359,-71.10321897,Apartment,Entire home/apt,5,1,2,3,Real Bed,23,4,25,3,5,339,100,strict
0,1,Jamaica Plain,42.31885965,-71.11451513,House,Entire home/apt,8,1,3,4,Real Bed,18,6,25,3,57,1187,93,strict
0,1,Jamaica Plain,42.31161875,-71.10910186,House,Entire home/apt,8,2.5,3,3,Real Bed,20,2,25,3,5,555,100,strict
0,1,Jamaica Plain,42.30189019,-71.12908358,House,Entire home/apt,5,1.5,3,3,Real Bed,13,1,0,3,4,84,100,moderate
0,1,Jamaica Plain,42.31947423,-71.10981262,Apartment,Entire home/apt,4,1,1,1,Real Bed,21,2,25,3,7,122,94,moderate
0,1,Jamaica Plain,42.31187523,-71.10988286,Apartment,Entire home/apt,5,1,2,3,Real Bed,12,5,20,2,0,0,,flexible
0,1,Jamaica Plain,42.30829329,-71.12399112,Apartment,Entire home/apt,6,2,3,3,Real Bed,19,5,19,2,74,900,88,strict
0,0,Jamaica Plain,42.31633721,-71.10285592,Condominium,Entire home/apt,5,1,2,2,Real Bed,18,2,25,3,0,0,,strict
0,1,Jamaica Plain,42.31798894,-71.10988165,Apartment,Entire home/apt,3,1,2,3,Real Bed,17,2,25,2,0,0,,moderate
0,1,Jamaica Plain,42.30469509,-71.10730425,Townhouse,Entire home/apt,2,1.5,1,1,Real Bed,18,1,0,2,1,0,100,flexible
0,1,Jamaica Plain,42.30931242,-71.11711989,Apartment,Entire home/apt,4,1,2,2,Real Bed,19,2,20,2,55,906,94,strict
0,1,Jamaica Plain,42.31406332,-71.10544008,House,Entire home/apt,6,1.5,3,3,Real Bed,19,1,0,4,3,39,100,strict
0,1,Jamaica Plain,42.31437713,-71.09951456,House,Entire home/apt,12,2.5,4,7,Real Bed,24,9,25,1,19,334,97,flexible
0,1,Jamaica Plain,42.30503422,-71.10333144,Apartment,Entire home/apt,4,1,2,2,Real Bed,19,2,20,2,32,565,94,moderate
0,1,Jamaica Plain,42.30889797,-71.11868977,House,Entire home/apt,5,3.5,4,4,Real Bed,19,4,0,3,8,677,100,moderate
0,0,Jamaica Plain,42.30826236,-71.11065977,Apartment,Entire home/apt,4,1,3,4,Real Bed,10,1,0,5,8,939,98,strict
0,1,Jamaica Plain,42.29128816,-71.11396006,House,Entire home/apt,4,2,4,3,Real Bed,13,4,0,2,41,1397,94,moderate
0,1,Jamaica Plain,42.30920004,-71.11836466,House,Private room,2,1,1,1,Real Bed,18,2,25,2,16,1015,99,strict
0,1,Jamaica Plain,42.31008194,-71.1196777,Apartment,Entire home/apt,4,1,2,2,Real Bed,9,4,25,1,8,803,88,moderate
1,0,Jamaica Plain,42.31359161,-71.12262105,House,Entire home/apt,11,3.5,5,5,Real Bed,19,6,50,3,28,604,98,strict
1,1,Jamaica Plain,42.31153116,-71.09896776,House,Entire home/apt,4,1.5,2,2,Real Bed,19,2,15,1,5,260,100,strict
